EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	TRAIN_PRECISION	TRAIN_RECALL	TRAIN_ACCURACY	TRAIN_F-SCORE	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_ACCURACY	DEV_F-SCORE	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_ACCURACY	TEST_F-SCORE
0	17:27:16	0	0.1000	0.02194412620896		_	_	_	_	0.014904281124472618	0.7627	0.7627	0.6164	0.7627	_	0.6441	0.6441	0.475	0.6441
1	17:27:44	0	0.1000	0.011889728386018235		_	_	_	_	0.00987224094569683	0.9153	0.9153	0.8438	0.9153	_	0.8814	0.8814	0.7879	0.8814
2	17:28:11	0	0.1000	0.0073576208709155095		_	_	_	_	0.006878257729113102	0.8983	0.8983	0.8154	0.8983	_	0.9322	0.9322	0.873	0.9322
3	17:28:39	0	0.1000	0.005532770101928105		_	_	_	_	0.0054054660722613335	0.9153	0.9153	0.8438	0.9153	_	0.9153	0.9153	0.8438	0.9153
4	17:29:08	0	0.1000	0.004825575971754931		_	_	_	_	0.00528401043266058	0.9492	0.9492	0.9032	0.9492	_	0.9153	0.9153	0.8438	0.9153
5	17:29:41	0	0.1000	0.0036392030858639944		_	_	_	_	0.0038575243670493364	0.9661	0.9661	0.9344	0.9661	_	0.9661	0.9661	0.9344	0.9661
6	17:30:09	0	0.1000	0.003112690341737816		_	_	_	_	0.003880732925608754	0.9492	0.9492	0.9032	0.9492	_	0.9831	0.9831	0.9667	0.9831
7	17:30:37	0	0.1000	0.0030727506717824833		_	_	_	_	0.002746214624494314	0.9831	0.9831	0.9667	0.9831	_	0.9831	0.9831	0.9667	0.9831
8	17:31:07	0	0.1000	0.002525975888247712		_	_	_	_	0.0022165151312947273	0.9661	0.9661	0.9344	0.9661	_	0.9831	0.9831	0.9667	0.9831
9	17:33:13	0	0.1000	0.00224884964083716		_	_	_	_	0.002277437364682555	0.9831	0.9831	0.9667	0.9831	_	0.9831	0.9831	0.9667	0.9831
10	17:33:46	0	0.1000	0.0018970562160899073		_	_	_	_	0.001694867154583335	0.9831	0.9831	0.9667	0.9831	_	0.9831	0.9831	0.9667	0.9831
11	17:34:13	0	0.1000	0.001738234659877874		_	_	_	_	0.0014033083571121097	0.9831	0.9831	0.9667	0.9831	_	0.9831	0.9831	0.9667	0.9831
12	17:34:41	0	0.1000	0.001377255934038026		_	_	_	_	0.001382987480610609	0.9831	0.9831	0.9667	0.9831	_	1.0	1.0	1.0	1.0
13	17:35:10	0	0.1000	0.001387573757911322		_	_	_	_	0.0013862437335774302	0.9831	0.9831	0.9667	0.9831	_	1.0	1.0	1.0	1.0
14	17:35:34	1	0.1000	0.0012428464873109834		_	_	_	_	0.001244702492840588	0.9831	0.9831	0.9667	0.9831	_	1.0	1.0	1.0	1.0
15	17:36:06	0	0.1000	0.001238854495429639		_	_	_	_	0.0010485422099009156	0.9831	0.9831	0.9667	0.9831	_	1.0	1.0	1.0	1.0
16	17:36:35	0	0.1000	0.001080756900453214		_	_	_	_	0.0009706543642096221	0.9831	0.9831	0.9667	0.9831	_	1.0	1.0	1.0	1.0
17	17:37:03	0	0.1000	0.0008698560502695835		_	_	_	_	0.0008079081890173256	1.0	1.0	1.0	1.0	_	0.9831	0.9831	0.9667	0.9831
18	17:37:32	0	0.1000	0.001147799304354999		_	_	_	_	0.0007067936239764094	1.0	1.0	1.0	1.0	_	0.9831	0.9831	0.9667	0.9831
19	17:37:54	1	0.1000	0.0012110529972587602		_	_	_	_	0.005000523757189512	0.9322	0.9322	0.873	0.9322	_	0.9322	0.9322	0.873	0.9322
